x,y,phi,radius,distance,phibin
-5.40421482351,-2.60661890987,-2.69218011076,6,6.0,25
-3.3084537927,5.00541042289,2.15484855478,6,6.0,303
5.6161145611,2.11169534653,0.359652752725,6,6.0,200
5.14880352579,3.08055551042,0.539172332931,6,6.0,211
5.99999887051,0.00368155365991,0.000613592315154,6,6.0,180
5.90423378705,-1.06771877754,-0.17890598789,6,6.0,169
5.61870177164,-2.1048017487,-0.358425568095,6,6.0,159
5.15258005822,-3.07423465982,-0.5379451483,6,6.0,149
4.52085018216,-3.94485913949,-0.717464728505,6,6.0,138
3.74381646148,-4.68869260058,-0.896984308711,6,6.0,128
5.90291905347,1.07496355669,0.18013317252,6,6.0,190
2.84645339931,-5.28182762361,-1.07650388892,6,6.0,118
1.85760298282,-5.70520036092,-1.25602346912,6,6.0,108
